epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1111,2.34549,3.58156,1.99798,0.00594,0.86667,0.28616,0.10358,1.85652,3.8522,1.40614,0.00015719,0.00015719,0.00015719
2,62.5084,1.96215,2.89806,1.63152,0.00836,0.72222,0.24581,0.08686,1.93666,3.55717,1.49205,0.000322162,0.000322162,0.000322162
3,93.2009,1.95403,2.61099,1.61017,0.00524,0.72222,0.22204,0.11525,2.16279,3.50562,1.64741,0.000480344,0.000480344,0.000480344
4,124.442,1.82169,2.65824,1.57064,0.42513,0.36667,0.16278,0.07381,2.27093,3.26297,1.66541,0.000631735,0.000631735,0.000631735
5,154.228,1.7881,2.5943,1.52851,0.79156,0.2,0.26412,0.13817,1.94419,3.17081,1.54253,0.000776336,0.000776336,0.000776336
6,184.149,1.77884,2.49015,1.522,0.37916,0.2,0.17828,0.08464,2.2451,3.43393,1.63207,0.000914146,0.000914146,0.000914146
7,214.026,1.77688,2.49747,1.528,0.56133,0.33333,0.26583,0.1163,2.22712,3.13346,1.63066,0.00104516,0.00104516,0.00104516
8,243.883,1.79952,2.46172,1.54905,0.55664,0.33333,0.28152,0.12546,2.05753,2.95889,1.5952,0.00116939,0.00116939,0.00116939
9,274.094,1.66049,2.34049,1.46457,0.59986,0.43333,0.33227,0.11666,2.07151,2.85607,1.67715,0.00120265,0.00120265,0.00120265
10,304.536,1.77104,2.66034,1.60441,0.6209,0.4,0.38286,0.1289,2.05592,3.05579,1.76895,0.00117435,0.00117435,0.00117435
11,334.221,1.69622,2.3415,1.52586,0.59059,0.3,0.3545,0.13454,2.0569,2.79696,1.51626,0.00114606,0.00114606,0.00114606
12,364.464,1.64996,2.35429,1.48797,0.69624,0.13084,0.27395,0.12895,1.82754,2.9924,1.40838,0.00111776,0.00111776,0.00111776
13,394.513,1.68834,2.26193,1.49765,0.54578,0.26667,0.42331,0.20482,1.99174,4.41077,1.45196,0.00108947,0.00108947,0.00108947
14,423.922,1.60395,2.23471,1.4611,0.36237,0.71111,0.34924,0.12682,2.10277,4.05934,1.54849,0.00106118,0.00106118,0.00106118
15,452.711,1.72353,2.33089,1.50681,0.38025,0.47778,0.31307,0.09848,1.87754,3.0164,1.52587,0.00103288,0.00103288,0.00103288
16,483.338,1.66259,2.14021,1.42791,0.40851,0.41111,0.3602,0.12367,2.01923,2.91836,1.5389,0.00100459,0.00100459,0.00100459
17,517.955,1.61865,2.22064,1.43706,0.5707,0.41111,0.45432,0.14708,2.16955,2.70228,1.57224,0.000976293,0.000976293,0.000976293
18,548.661,1.61835,2.2358,1.47503,0.38581,0.37778,0.36525,0.13478,2.1106,2.77849,1.56341,0.000947999,0.000947999,0.000947999
19,579.492,1.68316,2.14545,1.47235,0.28022,0.64444,0.41564,0.13864,2.00875,2.54041,1.55283,0.000919704,0.000919704,0.000919704
20,609.368,1.69023,2.17271,1.46251,0.60464,0.45636,0.46771,0.14486,2.01271,2.62827,1.56693,0.00089141,0.00089141,0.00089141
21,639.648,1.62476,2.15886,1.42389,0.7298,0.29471,0.48547,0.13634,2.26674,2.66743,1.61126,0.000863116,0.000863116,0.000863116
22,669.79,1.5451,2.05908,1.45189,0.6321,0.29006,0.40748,0.12545,2.43955,2.65956,1.67509,0.000834822,0.000834822,0.000834822
23,700.226,1.61281,2.02358,1.4614,0.36412,0.61656,0.49831,0.17418,2.03262,2.2983,1.50443,0.000806528,0.000806528,0.000806528
24,729.854,1.58213,1.95837,1.41955,0.47378,0.44444,0.43356,0.1693,2.03031,2.45318,1.5012,0.000778233,0.000778233,0.000778233
25,760.4,1.57513,1.98292,1.41211,0.59159,0.44444,0.44761,0.16598,1.94879,2.44802,1.43845,0.000749939,0.000749939,0.000749939
26,789.85,1.51483,1.87278,1.39988,0.46367,0.51111,0.53521,0.18975,1.9402,2.31085,1.42739,0.000721645,0.000721645,0.000721645
27,819.256,1.58875,1.94293,1.43884,0.58504,0.44444,0.50364,0.1917,2.03962,2.23166,1.45371,0.000693351,0.000693351,0.000693351
28,849.404,1.52576,1.82013,1.37259,0.55373,0.51111,0.55442,0.20843,1.96521,2.26957,1.39771,0.000665057,0.000665057,0.000665057
29,880.543,1.50031,1.77352,1.3378,0.4887,0.47778,0.49575,0.2021,1.82373,2.31097,1.40408,0.000636762,0.000636762,0.000636762
30,910.688,1.56091,1.7645,1.35743,0.62268,0.41111,0.48374,0.20267,1.85854,2.37653,1.41737,0.000608468,0.000608468,0.000608468
31,940.326,1.55558,1.78973,1.41251,0.62874,0.41111,0.46589,0.20124,1.89971,2.40481,1.46073,0.000580174,0.000580174,0.000580174
32,971.071,1.47127,1.70388,1.36949,0.67544,0.43873,0.46184,0.1929,1.87035,2.41263,1.45031,0.00055188,0.00055188,0.00055188
33,1001.35,1.45738,1.73569,1.33512,0.61601,0.36192,0.48355,0.1855,2.01744,2.40571,1.54554,0.000523586,0.000523586,0.000523586
34,1030.79,1.42322,1.68539,1.33058,0.86525,0.36609,0.5271,0.18919,1.93761,2.3404,1.51737,0.000495291,0.000495291,0.000495291
35,1060.28,1.44303,1.77521,1.37013,0.55428,0.41111,0.5005,0.18793,2.07232,2.32887,1.55571,0.000466997,0.000466997,0.000466997
36,1088.92,1.46058,1.7622,1.34566,0.44709,0.47778,0.52826,0.19555,2.0925,2.35635,1.54515,0.000438703,0.000438703,0.000438703
37,1119.3,1.48066,1.70215,1.33985,0.80613,0.31111,0.51541,0.20051,1.9723,2.35061,1.50083,0.000410409,0.000410409,0.000410409
38,1149.5,1.40564,1.63289,1.3366,0.55407,0.3901,0.51627,0.19914,1.86081,2.31421,1.45675,0.000382115,0.000382115,0.000382115
39,1179.84,1.48015,1.68394,1.32116,0.57682,0.3491,0.46287,0.18205,1.8632,2.25202,1.44756,0.00035382,0.00035382,0.00035382
40,1209.22,1.44783,1.69122,1.34634,0.42951,0.4807,0.47672,0.19162,1.8872,2.23124,1.46331,0.000325526,0.000325526,0.000325526
41,1238.02,1.27709,1.69803,1.29224,0.61862,0.41111,0.53942,0.22316,1.93403,2.23378,1.45296,0.000297232,0.000297232,0.000297232
42,1265.41,1.31997,1.72873,1.30697,0.48737,0.57778,0.5326,0.22533,1.96687,2.25042,1.45662,0.000268938,0.000268938,0.000268938
43,1293.78,1.28154,1.62419,1.26822,0.52707,0.47778,0.57045,0.23915,2.06413,2.24936,1.46668,0.000240644,0.000240644,0.000240644
44,1324.89,1.28252,1.58741,1.23474,0.64639,0.47778,0.51656,0.21837,2.10695,2.2401,1.48801,0.000212349,0.000212349,0.000212349
45,1354.07,1.28412,1.61586,1.25012,0.75348,0.41111,0.47936,0.1887,2.09003,2.22988,1.46078,0.000184055,0.000184055,0.000184055
46,1383.68,1.24152,1.55767,1.24037,0.74895,0.46277,0.51373,0.20211,2.05058,2.23546,1.44382,0.000155761,0.000155761,0.000155761
