epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.8805,2.10248,3.81378,1.88542,0.00389,0.62917,0.05985,0.01716,2.51424,5.39866,2.16151,0.000175,0.000175,0.000175
2,72.002,1.90281,3.21067,1.69879,0.00204,0.51667,0.16892,0.05345,2.17041,5.24019,1.9677,0.000355322,0.000355322,0.000355322
3,106.605,1.86671,2.99948,1.65392,0.00376,0.64167,0.22771,0.09098,1.84691,5.16208,1.64136,0.00052822,0.00052822,0.00052822
4,141.689,1.87789,2.90083,1.6271,0.35437,0.425,0.25752,0.09611,1.88377,4.88306,1.67954,0.000693692,0.000693692,0.000693692
5,176.788,1.78253,2.71162,1.5773,0.33857,0.4125,0.24017,0.08347,2.12779,4.22862,1.92451,0.00085174,0.00085174,0.00085174
6,211.238,1.75658,2.58295,1.51378,0.79124,0.2,0.28012,0.12457,1.98755,4.6389,1.86529,0.00100236,0.00100236,0.00100236
7,246.119,1.81388,2.63306,1.57634,0.30365,0.15,0.08371,0.04211,2.22226,4.68112,2.0217,0.0011015,0.0011015,0.0011015
8,280.382,1.75751,2.56719,1.54334,0.27628,0.1875,0.10719,0.0488,2.09902,4.66963,1.88089,0.00107675,0.00107675,0.00107675
9,313.658,1.76974,2.47168,1.56112,0.38284,0.325,0.24383,0.13719,2.22992,4.98218,2.15635,0.001052,0.001052,0.001052
10,346.994,1.78744,2.45901,1.54562,0.73099,0.125,0.31563,0.16103,2.14846,4.53503,2.11738,0.00102725,0.00102725,0.00102725
11,380.552,1.71082,2.45315,1.52632,0.37317,0.325,0.30946,0.11534,2.31133,3.89843,2.28626,0.0010025,0.0010025,0.0010025
12,413.746,1.69249,2.31296,1.50014,0.49839,0.28254,0.30633,0.09158,2.35367,3.9342,2.36301,0.00097775,0.00097775,0.00097775
13,447.104,1.7006,2.50673,1.53231,0.15896,0.3003,0.20302,0.07349,2.41407,4.11671,2.22885,0.000953,0.000953,0.000953
14,480.217,1.65283,2.29934,1.49265,0.23064,0.34583,0.22142,0.08875,2.24651,4.22638,1.9678,0.00092825,0.00092825,0.00092825
15,513.758,1.67147,2.28739,1.51277,0.51352,0.3479,0.32598,0.14309,1.97096,3.88116,1.71035,0.0009035,0.0009035,0.0009035
16,547.312,1.6918,2.43645,1.53159,0.55753,0.33416,0.4104,0.20874,2.0194,4.10778,1.76806,0.00087875,0.00087875,0.00087875
17,581.015,1.62249,2.2973,1.48018,0.24973,0.40239,0.38847,0.18031,2.26494,4.02217,1.85573,0.000854,0.000854,0.000854
18,614.396,1.59095,2.18633,1.46676,0.40842,0.46763,0.46183,0.1996,2.40397,3.93484,2.2076,0.00082925,0.00082925,0.00082925
19,647.876,1.66512,2.29253,1.53381,0.39621,0.43333,0.3967,0.15652,2.04875,3.88577,1.84219,0.0008045,0.0008045,0.0008045
20,681.272,1.68941,2.21192,1.52457,0.28358,0.50384,0.43167,0.22352,1.7027,3.79902,1.63266,0.00077975,0.00077975,0.00077975
